ID,Book,Rating,num_rating
56,"Version Control, Dexter Palmer",really liked it,21
56,"The Handmaid's Tale, Margaret Atwood",it was amazing,21
63,"The Time Traveler's Wife, Audrey Niffenegger",it was amazing,2
66,"Slaughterhouse-Five, Kurt Vonnegut Jr.",really liked it,8
66,"Fahrenheit 451, Ray Bradbury",really liked it,8
66,"Galápagos, Kurt Vonnegut Jr.",liked it,8
66,"The Alchemist, Paolo Bacigalupi",really liked it,8
66,"Lord of the Flies, William Golding",really liked it,8
66,"The Da Vinci Code, Dan Brown",liked it,8
66,"Catch-22, Joseph Heller",it was amazing,8
66,"Cat's Cradle, Kurt Vonnegut Jr.",really liked it,8
68,"The Time Traveler's Wife, Audrey Niffenegger",it was amazing,2
68,"The Little Prince, Antoine de Saint-Exupéry",it was amazing,2
70,"Brave New World, Aldous Huxley",it was amazing,2
70,"Slaughterhouse-Five, Kurt Vonnegut Jr.",it was amazing,2
72,"Foucault's Pendulum, Umberto Eco",really liked it,2
72,"Childhood's End, Arthur C. Clarke",liked it,2
73,"Superman: Red Son, Mark Millar",really liked it,63
73,"Snow Crash, Neal Stephenson",really liked it,63
73,"1984, George Orwell",it was amazing,63
73,"World War Z: An Oral History of the Zombie War, Max Brooks",really liked it,63
73,"Utopia, Thomas More",really liked it,63
73,"Utopia, Thomas More",really liked it,63
73,"Utopia, Thomas More",really liked it,63
73,"Cloud Atlas, David Mitchell",really liked it,63
73,"Song of Susannah, Stephen King",really liked it,63
73,"Walkaway, Cory Doctorow",really liked it,63
73,"Spook Country, William Gibson",really liked it,63
73,"Slaughterhouse-Five, Kurt Vonnegut Jr.",really liked it,63
73,"Starship Troopers, Robert A. Heinlein",really liked it,63
73,"Watchmen, Alan Moore",really liked it,63
73,"Cryptonomicon, Neal Stephenson",really liked it,63
73,"Dodger, Terry Pratchett",really liked it,63
73,"Dune, Frank Herbert",it was amazing,63
73,"Stranger in a Strange Land, Robert A. Heinlein",it was amazing,63
73,"Shelter, Susan Palwick",really liked it,63
73,"The Alchemist, Paolo Bacigalupi",really liked it,63
73,"The Bone Clocks, David Mitchell",liked it,63
73,"The Anubis Gates, Tim Powers",it was amazing,63
73,"Infinite Jest, David Foster Wallace",really liked it,63
73,"Stories of Your Life and Others, Ted Chiang",liked it,63
73,"The Gunslinger, Stephen King",it was amazing,63
73,"Armada, Ernest Cline",liked it,63
73,"Cat's Cradle, Kurt Vonnegut Jr.",really liked it,63
73,"Galápagos, Kurt Vonnegut Jr.",liked it,63
73,"The Hobbit, or There and Back Again, J.R.R. Tolkien",really liked it,63
73,"Neverwhere, Neil Gaiman",liked it,63
73,"Fuzzy Nation, John Scalzi",really liked it,63
73,"Nation, Terry Pratchett",liked it,63
73,"Ringworld, Larry Niven",really liked it,63
73,"Ready Player One, Ernest Cline",it was amazing,63
