ID,Book_Title,Rating,num_rating
166,The Rest of Us Just Live Here,really liked it,65
166,Life After Life,really liked it,65
166,Utopia,liked it,65
166,Utopia,liked it,65
166,Utopia,liked it,65
166,Gold Fame Citrus,really liked it,65
166,1984,liked it,65
166,Lexicon,really liked it,65
166,The River of No Return,liked it,65
166,Angelmaker,really liked it,65
166,Midnight,it was ok,65
166,11/22/63,really liked it,65
166,The Road,really liked it,65
166,The Underground Railroad,really liked it,65
166,MaddAddam,really liked it,65
166,Watchmen,really liked it,65
166,Landline,liked it,65
166,The Time Traveler's Wife,liked it,65
166,Jonathan Strange & Mr Norrell,liked it,65
166,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",really liked it,65
166,The Yiddish Policemen's Union,really liked it,65
166,The Shining Girls,really liked it,65
166,Herland,liked it,65
166,A Christmas Carol,really liked it,65
166,Lightning,liked it,65
166,Three Wishes,liked it,65
166,Plan B,really liked it,65
166,The Bone Clocks,it was amazing,65
166,Coraline,really liked it,65
166,Fahrenheit 451,liked it,65
166,The Heart Goes Last,liked it,65
166,The Handmaid's Tale,really liked it,65
166,Brave New World,liked it,65
166,"The Hobbit, or There and Back Again",liked it,65
166,Possession,really liked it,65
166,Blindness,really liked it,65
166,Station Eleven,it was amazing,65
166,The Library at Mount Char,really liked it,65
166,Slaughterhouse-Five,really liked it,65
166,Crosstalk,really liked it,65
166,The Fireman,liked it,65
166,Ella Minnow Pea: A Novel in Letters,liked it,65
166,Cloud Atlas,really liked it,65
166,Run,liked it,65
166,Run,liked it,65
166,The Gone-Away World,really liked it,65
166,The Flame Alphabet,it was ok,65
166,Ready Player One,liked it,65
166,Never Let Me Go,really liked it,65
166,Super Sad True Love Story,liked it,65
166,The Amazing Adventures of Kavalier & Clay,really liked it,65
166,The Age of Miracles,liked it,65
166,The Night Circus,liked it,65
166,The Plot Against America,really liked it,65
166,The Prince,liked it,65
166,The Prince,liked it,65
166,The Past,liked it,65
166,Fury,it was ok,65
166,Nevermore,it was ok,65
166,Dark Matter,liked it,65
166,Dark Matter,liked it,65
166,The Martian,liked it,65
166,Foe,liked it,65
169,Never Let Me Go,did not like it,7
169,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",really liked it,7
169,The Time Traveler's Wife,it was amazing,7
169,The Island,liked it,7
169,The Island,liked it,7
169,The Valley of Horses,liked it,7
169,The Historian,it was ok,7
171,Lucifer's Hammer,really liked it,3
171,The Silmarillion,really liked it,3
171,"The Hobbit, or There and Back Again",it was amazing,3
175,Fahrenheit 451,really liked it,7
175,Darkness at Noon,really liked it,7
175,Lord of the Flies,liked it,7
175,1984,it was amazing,7
175,A Clockwork Orange,really liked it,7
175,Animal Farm,it was amazing,7
175,Slaughterhouse-Five,really liked it,7
176,Flatland: A Romance of Many Dimensions,really liked it,7
176,Blood Sport,liked it,7
176,Lord of the Flies,it was ok,7
176,Brave New World,it was ok,7
176,1984,liked it,7
176,Alien,liked it,7
176,Catch-22,liked it,7
177,Slaughterhouse-Five,really liked it,8
177,Welcome to the Monkey House,really liked it,8
177,1984,really liked it,8
177,The Alchemist,it was ok,8
177,Catch-22,really liked it,8
177,The Gone-Away World,it was amazing,8
177,Cat's Cradle,it was amazing,8
177,Atlas Shrugged,really liked it,8
181,"The Hobbit, or There and Back Again",liked it,10
181,Fahrenheit 451,it was ok,10
181,The Alchemist,it was ok,10
181,Kindred,did not like it,10
181,Animal Farm,liked it,10
181,Lord of the Flies,it was ok,10
181,Atlas Shrugged,it was ok,10
181,1984,it was ok,10
181,Paradise,did not like it,10
181,The Little Prince,it was ok,10
182,The Lottery and Other Stories,really liked it,32
182,The Stand,it was amazing,32
182,The Stranger,it was amazing,32
182,The Phantom Tollbooth,it was amazing,32
182,The Alchemist,really liked it,32
182,The Running Man,really liked it,32
182,Never Let Me Go,really liked it,32
182,It,it was amazing,32
182,Ship of Fools,really liked it,32
182,Underground Airlines,really liked it,32
182,The Tommyknockers,really liked it,32
182,The Underground Railroad,liked it,32
182,Lord of the Flies,it was amazing,32
182,Paradise,really liked it,32
182,Moonglow,really liked it,32
182,A Christmas Carol,really liked it,32
182,A Connecticut Yankee in King Arthur's Court,really liked it,32
182,Flowers for Algernon,really liked it,32
182,Animal Farm,it was amazing,32
182,Cell,liked it,32
182,Firestarter,really liked it,32
182,Firestarter,really liked it,32
182,Deception,really liked it,32
182,Home,liked it,32
182,Home,liked it,32
182,Dracula,it was amazing,32
182,Dreamcatcher,it was ok,32
182,Dry,liked it,32
182,Black Water,really liked it,32
182,1984,it was amazing,32
182,Brave New World,really liked it,32
182,Armada,liked it,32
185,Black and Blue,it was ok,12
185,The Little Prince,it was amazing,12
185,Einstein's Dreams,it was amazing,12
185,The Alchemist,did not like it,12
185,A Christmas Carol,liked it,12
185,Never Let Me Go,it was ok,12
185,When You Reach Me,liked it,12
185,Virgins,it was amazing,12
185,Feed,it was ok,12
185,Feed,it was ok,12
185,World War Z: An Oral History of the Zombie War,it was ok,12
185,Possession,it was amazing,12
191,Stolen,it was ok,2
191,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",liked it,2
192,The Genocides,liked it,49
192,The Simulacra,liked it,49
192,The Space Merchants,it was amazing,49
192,I Have No Mouth & I Must Scream,liked it,49
192,The Penultimate Truth,liked it,49
192,Counter-Clock World,really liked it,49
